date,longitude,latitude,resight,size,source
02/23/2005,-51.50,48.41,1,MED,IIP
03/01/2005,-50.58,48.53,1,SM,IIP
02/23/2005,-52.98,48.76,0,SM,IIP
02/23/2005,-52.93,48.71,0,SM,IIP
02/23/2005,-54.11,51.19,0,SM,IIP
03/27/2005,-54.35,50.04,1,SM,IIP
02/23/2005,-53.83,51.15,0,MED,IIP
02/24/2005,-53.80,50.68,1,MED,IIP
03/12/2005,-52.91,50.38,1,SM,IIP
02/23/2005,-53.31,50.84,0,SM,IIP
02/23/2005,-52.43,49.63,0,SM,IIP
03/01/2005,-52.91,51.82,0,MED,IIP
03/01/2005,-52.29,51.93,0,SM,IIP
03/01/2005,-51.89,51.76,0,SM,IIP
03/07/2005,-51.09,50.12,0,SM,IIP
03/27/2005,-49.62,48.40,1,X,IIP
03/11/2005,-53.67,51.99,0,MED,IIP
03/26/2005,-53.12,49.68,1,MED,IIP
03/27/2005,-52.77,49.68,1,MED,IIP
03/14/2005,-52.74,48.67,0,X,IIP
03/26/2005,-52.13,47.55,1,X,IIP
03/15/2005,-50.74,52.00,0,MED,IIP
03/20/2005,-55.57,51.67,0,LG,IIP
03/27/2005,-55.31,51.65,1,MED,IIP
03/20/2005,-55.38,51.66,0,LG,IIP
03/27/2005,-55.38,51.40,1,MED,IIP
03/27/2005,-55.43,51.38,1,MED,IIP
03/20/2005,-55.41,51.41,0,MED,IIP
03/27/2005,-55.69,50.99,1,MED,IIP
04/17/2005,-55.31,50.79,1,SM,IIP
05/07/2005,-52.95,48.78,1,SM,IIP
03/21/2005,-55.45,49.96,0,BBGR,IIP
03/27/2005,-55.08,49.70,1,SM,IIP
04/29/2005,-54.14,49.84,1,SM,IIP
03/22/2005,-52.50,51.93,0,MED,IIP
03/23/2005,-53.24,51.98,0,SM,IIP
03/25/2005,-50.20,48.67,0,X,IIP
03/25/2005,-49.80,48.70,0,MED,IIP
03/26/2005,-49.75,48.65,1,SM,IIP
03/29/2005,-49.00,47.76,1,SM,IIP
04/01/2005,-49.41,47.32,1,SM,IIP
04/03/2005,-49.58,46.92,1,X,IIP
04/05/2005,-50.02,46.87,1,SM,IIP
04/05/2005,-50.14,46.89,1,SM,IIP
04/07/2005,-50.43,46.98,1,SM,IIP
04/07/2005,-50.42,47.05,1,SM,IIP
03/27/2005,-52.90,49.52,0,SM,IIP
03/27/2005,-55.65,51.03,0,VLG,IIP
03/27/2005,-55.33,51.89,0,SM,IIP
04/17/2005,-55.41,51.41,1,MED,IIP
