date,longitude,latitude,resight,size,source
02/02/1986,-45.63,48.07,0,X,IIP
02/02/1986,-45.85,47.87,0,BBGR,IIP
02/02/1986,-45.85,47.87,0,SM,IIP
02/02/1986,-45.85,47.87,0,MED,IIP
02/02/1986,-45.85,47.87,0,LG,IIP
02/04/1986,-50.5,51.05,0,SM,IIP
02/04/1986,-50.62,51.12,0,SM,IIP
02/04/1986,-50.72,50.33,0,SM,IIP
02/13/1986,-46.0,48.53,1,SM,IIP
02/04/1986,-50.68,50.95,0,BBGR,IIP
02/13/1986,-47.58,47.87,0,X,IIP
02/13/1986,-48.53,47.22,0,X,IIP
02/18/1986,-48.27,46.45,1,X,IIP
02/13/1986,-50.13,47.33,0,X,IIP
02/18/1986,-49.65,46.37,1,X,IIP
02/18/1986,-49.72,46.37,0,X,IIP
02/18/1986,-48.3,46.47,0,X,IIP
02/18/1986,-48.27,46.72,0,X,IIP
03/05/1986,-47.7,47.87,0,X,IIP
03/09/1986,-48.08,48.72,0,SM,IIP
03/14/1986,-52.02,46.78,0,LG,IIP
03/14/1986,-51.23,46.35,0,SM,IIP
03/14/1986,-47.35,46.15,0,MED,IIP
03/23/1986,-48.2,44.5,1,SM,IIP
03/26/1986,-47.92,44.88,1,SM,IIP
03/14/1986,-46.93,46.73,0,LG,IIP
03/14/1986,-46.07,46.28,0,MED,IIP
03/14/1986,-46.35,46.62,0,LG,IIP
04/01/1986,-45.63,46.78,1,LG,IIP
04/01/1986,-45.77,46.77,1,MED,IIP
03/14/1986,-47.0,47.03,0,MED,IIP
03/14/1986,-46.88,46.72,0,MED,IIP
03/14/1986,-47.38,47.58,0,MED,IIP
03/17/1986,-47.5,46.18,1,MED,IIP
03/26/1986,-49.63,42.95,1,MED,IIP
03/14/1986,-47.08,47.38,0,SM,IIP
03/16/1986,-47.07,46.67,1,SM,IIP
03/14/1986,-44.73,47.42,0,SM,IIP
03/14/1986,-45.3,47.2,0,X,IIP
03/31/1986,-44.95,47.4,1,SM,IIP
04/04/1986,-43.95,47.1,1,SM,IIP
03/14/1986,-47.3,47.37,0,MED,IIP
03/18/1986,-47.7,45.7,1,MED,IIP
04/06/1986,-46.08,45.87,1,MED,IIP
03/14/1986,-46.97,46.8,0,SM,IIP
03/17/1986,-47.52,46.68,0,LG,IIP
03/18/1986,-47.53,46.03,1,LG,IIP
03/23/1986,-48.52,44.72,1,SM,IIP
03/26/1986,-47.47,44.52,1,SM,IIP
03/17/1986,-48.15,45.8,0,MED,IIP
03/20/1986,-49.12,44.05,1,MED,IIP
03/23/1986,-49.08,43.02,1,SM,IIP
03/26/1986,-48.78,42.75,1,MED,IIP
03/27/1986,-48.42,42.7,1,MED,IIP
03/18/1986,-47.75,45.97,0,LG,IIP
03/23/1986,-48.6,44.2,1,SM,IIP
03/18/1986,-47.9,45.92,0,LG,IIP
03/23/1986,-48.65,43.75,1,MED,IIP
03/19/1986,-49.37,48.15,0,MED,IIP
03/19/1986,-48.72,48.1,0,MED,IIP
03/19/1986,-48.65,48.08,0,MED,IIP
03/19/1986,-48.63,48.08,0,MED,IIP
03/19/1986,-45.7,47.95,0,SM,IIP
03/19/1986,-45.52,47.93,0,SM,IIP
03/19/1986,-45.52,47.93,0,SM,IIP
03/19/1986,-49.47,48.35,0,SM,IIP
03/19/1986,-49.08,47.55,0,BBGR,IIP
03/19/1986,-48.92,47.58,0,SM,IIP
03/26/1986,-47.0,47.17,1,SM,IIP
03/24/1986,-50.32,51.74,0,MED,IIP
04/18/1986,-45.17,51.1,1,SM,IIP
03/23/1986,-48.72,44.17,0,SM,IIP
03/23/1986,-47.0,44.83,0,X,IIP
03/23/1986,-45.73,46.3,0,X,IIP
03/23/1986,-46.3,46.42,0,X,IIP
03/31/1986,-44.37,46.02,1,X,IIP
04/01/1986,-44.55,45.63,1,SM,IIP
03/23/1986,-47.33,46.77,0,X,IIP
04/01/1986,-47.98,45.35,1,SM,IIP
03/23/1986,-47.92,45.9,0,SM,IIP
03/25/1986,-49.03,43.07,0,LG,IIP
03/28/1986,-48.27,42.91,1,LG,IIP
03/26/1986,-49.87,42.55,0,SM,IIP
03/26/1986,-47.17,47.3,0,MED,IIP
03/31/1986,-46.83,46.4,1,X,IIP
04/02/1986,-46.52,46.34,1,MED,IIP
04/05/1986,-46.08,46.18,1,MED,IIP
04/06/1986,-46.17,46.17,1,MED,IIP
04/13/1986,-45.43,46.27,1,MED,IIP
03/26/1986,-48.55,42.88,0,SM,IIP
03/26/1986,-49.73,43.45,0,SM,IIP
03/26/1986,-47.73,44.52,0,MED,IIP
03/26/1986,-48.25,46.88,0,X,IIP
04/09/1986,-48.53,45.1,1,SM,IIP
03/26/1986,-48.37,46.68,0,X,IIP
03/31/1986,-46.17,47.22,1,SM,IIP
04/13/1986,-45.2,47.17,1,SM,IIP
03/28/1986,-48.27,42.91,0,BBGR,IIP
03/28/1986,-53.85,44.64,0,X,IIP
03/28/1986,-53.93,44.69,0,X,IIP
03/31/1986,-55.01,44.65,1,X,IIP
03/30/1986,-46.65,43.99,0,SM,IIP
03/30/1986,-49.33,46.53,0,X,IIP
04/18/1986,-49.75,44.25,1,X,IIP
05/01/1986,-50.03,44.33,1,MED,IIP
03/30/1986,-48.63,47.37,0,X,IIP
04/09/1986,-48.52,46.75,1,SM,IIP
04/16/1986,-48.45,47.58,1,SM,IIP
04/20/1986,-48.26,47.68,1,SM,IIP
05/03/1986,-48.32,44.3,1,SM,IIP
03/28/1986,-48.08,43.2,0,LG,IIP
03/29/1986,-47.6,43.45,0,X,IIP
04/01/1986,-49.5,43.37,0,SM,IIP
04/02/1986,-48.92,42.87,1,SM,IIP
04/01/1986,-49.62,43.75,0,SM,IIP
04/03/1986,-49.03,43.15,1,SM,IIP
04/02/1986,-46.5,44.67,0,BBGR,IIP
04/01/1986,-50.9,41.98,0,SM,IIP
04/07/1986,-48.17,41.47,1,SM,IIP
04/02/1986,-47.6,45.75,0,SM,IIP
04/18/1986,-46.33,46.25,1,SM,IIP
04/02/1986,-49.02,48.62,0,SM,IIP
04/02/1986,-49.22,48.57,0,SM,IIP
04/02/1986,-49.22,48.52,0,X,IIP
04/02/1986,-49.85,48.62,0,SM,IIP
04/13/1986,-46.47,47.25,1,SM,IIP
04/07/1986,-48.58,47.18,0,SM,IIP
04/08/1986,-48.85,46.99,1,SM,IIP
04/04/1986,-50.63,45.37,0,SM,IIP
04/06/1986,-51.27,49.52,0,MED,IIP
04/06/1986,-49.7,48.4,0,MED,IIP
05/03/1986,-49.45,42.8,1,BBGR,IIP
04/06/1986,-50.03,48.38,0,MED,IIP
04/14/1986,-49.67,47.43,1,SM,IIP
04/08/1986,-50.81,46.41,0,MED,IIP
04/08/1986,-49.7,47.13,0,MED,IIP
04/09/1986,-49.65,46.65,1,MED,IIP
04/08/1986,-48.03,45.7,0,MED,IIP
04/18/1986,-50.78,43.02,1,SM,IIP
04/08/1986,-46.28,45.22,0,LG,IIP
04/14/1986,-45.94,45.84,1,LG,IIP
04/08/1986,-51.28,49.93,0,MED,IIP
04/08/1986,-51.88,50.37,0,SM,IIP
04/08/1986,-51.75,50.35,0,LG,IIP
04/11/1986,-50.57,46.72,0,MED,IIP
04/29/1986,-54.43,45.03,1,SM,IIP
04/09/1986,-49.07,46.85,0,SM,IIP
04/11/1986,-49.03,46.87,1,MED,IIP
04/13/1986,-49.78,46.67,1,MED,IIP
05/01/1986,-51.87,44.62,1,SM,IIP
04/09/1986,-48.75,46.8,0,SM,IIP
04/26/1986,-50.2,45.5,1,SM,IIP
05/01/1986,-51.22,44.6,1,SM,IIP
04/09/1986,-50.45,47.58,0,SM,IIP
04/16/1986,-50.77,47.9,1,SM,IIP
04/09/1986,-50.0,46.88,0,MED,IIP
04/13/1986,-49.85,46.33,1,MED,IIP
04/10/1986,-45.8,44.65,0,LG,IIP
04/16/1986,-42.58,45.98,1,LG,IIP
04/10/1986,-45.95,44.65,0,MED,IIP
04/16/1986,-42.82,46.07,1,MED,IIP
04/13/1986,-47.58,45.33,0,X,IIP
04/13/1986,-45.45,46.8,0,X,IIP
04/13/1986,-44.32,47.15,0,X,IIP
04/13/1986,-46.75,48.38,0,X,IIP
04/13/1986,-47.62,47.83,0,X,IIP
04/16/1986,-47.67,47.33,1,MED,IIP
04/28/1986,-50.13,42.88,1,MED,IIP
04/13/1986,-47.43,47.9,0,X,IIP
04/13/1986,-46.3,47.22,0,X,IIP
04/13/1986,-46.17,47.3,0,X,IIP
04/13/1986,-45.8,47.83,0,X,IIP
04/13/1986,-45.83,47.7,0,X,IIP
04/13/1986,-45.63,47.78,0,X,IIP
04/13/1986,-45.53,47.7,0,X,IIP
04/13/1986,-49.27,47.2,0,X,IIP
04/13/1986,-49.8,47.28,0,X,IIP
04/14/1986,-51.64,46.98,0,MED,IIP
04/14/1986,-49.36,47.35,0,SM,IIP
04/14/1986,-48.81,47.57,0,SM,IIP
04/20/1986,-48.26,47.69,1,SM,IIP
04/20/1986,-49.17,47.38,1,BBGR,IIP
04/14/1986,-50.07,47.45,0,MED,IIP
04/14/1986,-50.13,47.57,0,MED,IIP
04/16/1986,-50.25,47.63,1,MED,IIP
04/20/1986,-50.5,47.83,1,LG,IIP
05/01/1986,-48.88,47.93,1,LG,IIP
05/02/1986,-50.77,48.0,1,LG,IIP
05/17/1986,-51.12,46.05,1,SM,IIP
04/14/1986,-50.34,47.62,0,MED,IIP
04/16/1986,-50.42,47.67,1,MED,IIP
04/16/1986,-50.5,47.72,1,MED,IIP
05/01/1986,-49.55,47.92,1,MED,IIP
05/05/1986,-49.55,47.82,1,MED,IIP
05/07/1986,-49.33,47.52,1,MED,IIP
05/07/1986,-49.23,47.43,1,MED,IIP
05/08/1986,-49.4,47.22,1,MED,IIP
05/10/1986,-49.63,46.88,1,MED,IIP
05/17/1986,-50.43,45.85,1,SM,IIP
04/16/1986,-51.9,48.52,0,MED,IIP
04/16/1986,-49.2,47.8,0,SM,IIP
04/20/1986,-48.25,47.68,1,SM,IIP
05/03/1986,-47.75,44.22,1,SM,IIP
04/16/1986,-46.45,46.05,0,MED,IIP
05/05/1986,-43.33,47.2,1,MED,IIP
05/12/1986,-42.25,48.45,1,SM,IIP
04/16/1986,-52.24,47.34,0,MED,IIP
04/19/1986,-52.62,47.12,1,MED,IIP
04/16/1986,-49.1,44.0,0,X,IIP
04/18/1986,-49.72,43.1,1,X,IIP
04/18/1986,-53.62,46.32,0,X,IIP
04/18/1986,-49.63,43.15,0,SM,IIP
04/18/1986,-49.77,43.68,0,X,IIP
04/18/1986,-49.75,44.15,0,SM,IIP
05/01/1986,-49.68,44.32,1,SM,IIP
04/18/1986,-52.38,45.05,0,LG,IIP
04/19/1986,-50.67,42.95,0,X,IIP
04/19/1986,-52.05,48.38,0,SM,IIP
05/11/1986,-53.02,46.55,1,SM,IIP
04/22/1986,-49.51,42.87,0,X,IIP
04/28/1986,-51.25,41.68,1,MED,IIP
04/22/1986,-48.72,46.85,0,X,IIP
05/06/1986,-48.35,47.47,1,MED,IIP
05/10/1986,-48.65,46.9,1,MED,IIP
04/24/1986,-55.27,42.89,0,X,IIP
04/24/1986,-52.53,46.35,0,X,IIP
04/24/1986,-55.4,45.03,0,X,IIP
04/26/1986,-46.87,43.65,0,SM,IIP
05/03/1986,-44.1,44.33,1,SM,IIP
