date,longitude,latitude,resight,size,source
04/14/1959,-42.3,48,0,BBGR,NOT IIP
05/01/1959,-49.5,42.83333333,0,VLG,NOT IIP
05/13/1959,-52.33333333,42.33333333,0,LG,NOT IIP
05/21/1959,-48.33333333,40.08333333,0,SM,NOT IIP
06/22/1959,-43.6,44,0,BERG,NOT IIP
06/24/1959,-42.93333333,44.05,1,X,NOT IIP
11/13/1959,-36.55,57.15,0,BERG,NOT IIP
11/14/1959,-42.6,57.56666667,0,BERG,NOT IIP
12/15/1959,-38.85,57.78333333,0,BERG,NOT IIP
12/15/1959,-38.85,57.78333333,0,BBGR,NOT IIP
12/15/1959,-38.66666667,58.2,0,LG,NOT IIP
12/15/1959,-37.6,58.46666667,0,VLG,NOT IIP
12/28/1959,-42.08333333,55.75,0,BERG,NOT IIP
12/31/1959,-51.05,56.5,0,BBGR,NOT IIP
12/31/1959,-50.8,56.5,0,BERG,NOT IIP
