date,longitude,latitude,resight,size,source
03/15/1988,-50.92,50.28,0,MED,IIP
03/25/1988,-49.0,48.27,1,X,IIP
03/29/1988,-47.63,48.05,1,SM,IIP
03/15/1988,-49.22,50.72,0,SM,IIP
03/25/1988,-49.0,50.0,1,MED,IIP
03/15/1988,-48.7,50.72,0,SM,IIP
03/25/1988,-49.0,50.3,1,MED,IIP
03/15/1988,-48.63,51.07,0,SM,IIP
03/15/1988,-49.95,51.08,0,SM,IIP
03/15/1988,-50.18,51.13,0,SM,IIP
03/25/1988,-49.0,49.47,1,MED,IIP
03/30/1988,-49.8,49.62,1,MED,IIP
03/15/1988,-51.53,51.08,0,SM,IIP
03/22/1988,-50.47,49.9,1,SM,IIP
03/28/1988,-47.5,47.6,1,SM,IIP
03/29/1988,-47.77,47.6,1,SM,IIP
04/04/1988,-49.38,47.47,1,SM,IIP
04/06/1988,-48.87,47.01,1,BBGR,IIP
03/15/1988,-51.47,50.97,0,MED,IIP
03/22/1988,-50.32,49.87,1,MED,IIP
03/26/1988,-48.38,48.98,1,MED,IIP
03/29/1988,-48.38,48.78,1,MED,IIP
03/15/1988,-51.1,50.97,0,MED,IIP
03/15/1988,-51.7,51.8,0,SM,IIP
03/22/1988,-52.06,50.4,1,SM,IIP
03/29/1988,-49.68,48.83,1,SM,IIP
04/03/1988,-49.1,48.07,1,SM,IIP
04/04/1988,-49.38,47.55,1,SM,IIP
04/06/1988,-49.87,47.52,1,SM,IIP
03/19/1988,-49.88,49.7,0,MED,IIP
03/22/1988,-49.83,49.32,0,MED,IIP
03/25/1988,-49.0,48.94,1,X,IIP
03/29/1988,-49.6,48.43,1,MED,IIP
04/04/1988,-49.59,47.48,1,MED,IIP
04/06/1988,-49.66,47.52,1,SM,IIP
03/22/1988,-50.1,50.02,0,X,IIP
03/22/1988,-51.03,49.82,0,X,IIP
03/22/1988,-51.08,49.5,0,X,IIP
03/22/1988,-50.42,51.1,0,X,IIP
03/22/1988,-50.8,51.3,0,X,IIP
03/22/1988,-50.87,50.58,0,X,IIP
03/22/1988,-51.07,51.17,0,X,IIP
03/22/1988,-55.12,50.67,0,X,IIP
03/26/1988,-52.42,48.02,0,MED,IIP
03/26/1988,-52.47,47.91,1,MED,IIP
04/13/1988,-52.68,46.77,1,MED,IIP
04/16/1988,-53.27,46.03,1,LG,IIP
04/18/1988,-53.28,46.28,1,LG,IIP
03/26/1988,-51.85,47.72,0,MED,IIP
03/26/1988,-51.83,47.59,0,SM,IIP
03/26/1988,-48.96,47.75,0,SM,IIP
03/29/1988,-47.62,47.83,1,SM,IIP
04/04/1988,-48.97,47.77,1,SM,IIP
04/06/1988,-49.34,47.81,1,MED,IIP
04/11/1988,-49.77,47.53,1,X,IIP
04/15/1988,-50.5,47.02,1,MED,IIP
05/02/1988,-52.87,44.8,1,MED,IIP
03/27/1988,-49.01,47.7,0,SM,IIP
03/29/1988,-49.03,48.05,1,SM,IIP
04/04/1988,-49.24,47.46,1,SM,IIP
04/06/1988,-49.79,47.55,1,SM,IIP
03/28/1988,-48.66,47.8,0,MED,IIP
03/29/1988,-49.17,48.27,1,MED,IIP
04/04/1988,-48.84,47.4,1,MED,IIP
04/06/1988,-49.12,47.27,1,MED,IIP
04/10/1988,-49.15,46.38,1,MED,IIP
04/12/1988,-49.63,46.39,1,MED,IIP
04/13/1988,-49.87,46.13,1,MED,IIP
04/15/1988,-49.97,45.98,1,SM,IIP
03/28/1988,-47.68,47.5,0,SM,IIP
03/30/1988,-47.28,47.23,1,SM,IIP
03/28/1988,-48.87,48.1,0,SM,IIP
03/29/1988,-48.32,48.03,1,SM,IIP
04/04/1988,-47.96,47.05,1,SM,IIP
04/13/1988,-51.78,46.52,1,LG,IIP
04/17/1988,-52.2,45.45,1,LG,IIP
03/28/1988,-51.68,47.45,0,LG,IIP
03/30/1988,-51.83,47.18,1,LG,IIP
03/30/1988,-49.92,49.73,0,MED,IIP
04/06/1988,-49.98,48.46,1,SM,IIP
03/30/1988,-50.78,51.13,0,MED,IIP
04/06/1988,-50.01,48.54,1,SM,IIP
03/30/1988,-50.58,51.02,0,LG,IIP
04/06/1988,-49.98,48.57,1,SM,IIP
04/16/1988,-49.65,47.18,1,SM,IIP
05/02/1988,-51.18,44.6,1,SM,IIP
03/30/1988,-51.33,51.87,0,SM,IIP
04/06/1988,-50.0,48.45,1,SM,IIP
04/01/1988,-52.77,48.05,0,MED,IIP
04/01/1988,-52.65,48.05,1,MED,IIP
04/04/1988,-52.64,48.03,1,LG,IIP
04/06/1988,-52.67,47.88,1,LG,IIP
04/08/1988,-52.58,47.52,1,LG,IIP
04/13/1988,-52.65,47.62,1,LG,IIP
04/16/1988,-52.4,47.48,1,LG,IIP
04/16/1988,-52.23,47.32,1,MED,IIP
04/17/1988,-52.58,46.87,1,LG,IIP
04/18/1988,-52.73,47.02,1,MED,IIP
04/19/1988,-52.56,47.0,1,MED,IIP
05/17/1988,-52.66,46.95,1,SM,IIP
04/03/1988,-48.12,46.65,0,LG,IIP
04/04/1988,-47.87,46.93,1,LG,IIP
04/06/1988,-48.02,46.86,1,MED,IIP
04/13/1988,-51.78,46.52,1,LG,IIP
04/17/1988,-52.57,45.6,1,LG,IIP
05/05/1988,-54.97,43.53,1,LG,IIP
05/07/1988,-55.01,42.92,1,X,IIP
04/03/1988,-49.18,47.28,0,MED,IIP
04/04/1988,-49.49,47.41,1,MED,IIP
04/06/1988,-49.82,47.59,1,SM,IIP
04/08/1988,-50.08,47.58,1,SM,IIP
04/15/1988,-50.98,46.1,1,MED,IIP
04/29/1988,-53.33,44.08,1,MED,IIP
04/03/1988,-47.78,46.9,0,BBGR,IIP
04/04/1988,-48.28,47.09,1,BBGR,IIP
04/06/1988,-48.35,46.93,1,SM,IIP
04/12/1988,-48.02,46.84,1,SM,IIP
