date,longitude,latitude,resight,size,source
01/01/1908,-44,48.8,0,X,NOT IIP
01/02/1908,-46.25,49.95,0,LG,NOT IIP
01/03/1908,-46.83333333,49.65,0,MED,NOT IIP
01/14/1908,-43.9,47.65,0,BERG,NOT IIP
02/12/1908,-47.75,49.33333333,0,LG,NOT IIP
03/22/1908,-47.03333333,45.8,0,X,NOT IIP
03/25/1908,-44.3,48.5,0,LG,NOT IIP
03/25/1908,-44.5,48.38333333,0,SM,NOT IIP
03/25/1908,-44.75,48.3,0,SM,NOT IIP
03/25/1908,-45.73333333,47.53333333,0,LG,NOT IIP
03/25/1908,-47.3,47.06666667,0,LG,NOT IIP
03/25/1908,-46.83333333,45.16666667,0,LG,NOT IIP
03/26/1908,-43.43333333,47.66666667,0,LG,NOT IIP
03/26/1908,-43.43333333,47.58333333,0,SM,NOT IIP
03/29/1908,-44.91666667,47.41666667,0,LG,NOT IIP
03/30/1908,-44.75,47.41666667,0,SM,NOT IIP
03/31/1908,-44.91666667,47.3,0,MED,NOT IIP
04/02/1908,-44.83333333,47.33333333,0,LG,NOT IIP
04/02/1908,-44.83333333,47.33333333,0,SM,NOT IIP
04/03/1908,-42.43333333,47.9,0,LG,NOT IIP
04/05/1908,-47.55,47.55,0,X,NOT IIP
04/05/1908,-47.55,47.6,0,SM,NOT IIP
04/06/1908,-43.96666667,47.51666667,0,BERG,NOT IIP
04/06/1908,-43.41666667,48.08333333,0,LG,NOT IIP
04/06/1908,-50.3,48.25,0,SM,NOT IIP
04/06/1908,-50.3,48.25,0,LG,NOT IIP
04/07/1908,-44.25,46.5,0,MED,NOT IIP
04/07/1908,-44.16666667,46.66666667,0,MED,NOT IIP
04/07/1908,-47.28333333,47.5,0,X,NOT IIP
04/07/1908,-47.28333333,47.5,0,BERG,NOT IIP
04/08/1908,-43.15,48,0,MED,NOT IIP
04/12/1908,-46.45,49.16666667,0,LG,NOT IIP
04/12/1908,-46.63333333,49.23333333,0,BERG,NOT IIP
04/13/1908,-47.16666667,48.7,0,BERG,NOT IIP
04/13/1908,-44.06666667,46.6,0,MED,NOT IIP
04/17/1908,-42.58333333,49,0,SM,NOT IIP
04/17/1908,-44,48.66666667,0,LG,NOT IIP
04/17/1908,-45,48,0,LG,NOT IIP
04/17/1908,-44,48.66666667,0,SM,NOT IIP
04/17/1908,-45,48,0,SM,NOT IIP
04/17/1908,-44,48.66666667,0,BBGR,NOT IIP
04/17/1908,-45,48,0,BBGR,NOT IIP
04/21/1908,-44.11666667,50.31666667,0,MED,NOT IIP
04/22/1908,-43.41666667,49.61666667,0,BERG,NOT IIP
04/22/1908,-45.38333333,48.56666667,0,BERG,NOT IIP
04/22/1908,-43.41666667,49.61666667,0,BBGR,NOT IIP
04/22/1908,-45.38333333,48.56666667,0,BBGR,NOT IIP
04/22/1908,-49.36666667,44.46666667,0,LG,NOT IIP
04/23/1908,-47.98333333,44.53333333,0,LG,NOT IIP
04/23/1908,-44.58333333,50.91666667,0,X,NOT IIP
04/23/1908,-44.58333333,50.91666667,0,BERG,NOT IIP
04/24/1908,-51.93333333,50,0,SM,NOT IIP
04/24/1908,-52.16666667,49.85,0,SM,NOT IIP
04/24/1908,-51.93333333,50,0,LG,NOT IIP
04/24/1908,-52.16666667,49.85,0,LG,NOT IIP
04/24/1908,-43.95,51.15,0,LG,NOT IIP
04/24/1908,-44.58333333,50.88333333,0,LG,NOT IIP
04/24/1908,-45.48333333,50.53333333,0,LG,NOT IIP
04/25/1908,-44.15,45.23333333,0,VLG,NOT IIP
04/25/1908,-47.33333333,49.8,0,LG,NOT IIP
04/28/1908,-44,51,0,LG,NOT IIP
04/28/1908,-45,51,0,LG,NOT IIP
04/29/1908,-43.86666667,47.15,0,MED,NOT IIP
05/02/1908,-41.83333333,51.83333333,0,SM,NOT IIP
05/02/1908,-49.68333333,48.1,0,BBGR,NOT IIP
05/02/1908,-49.68333333,48,0,SM,NOT IIP
05/03/1908,-47.8,49.43333333,0,X,NOT IIP
05/03/1908,-48.33333333,49,0,MED,NOT IIP
05/03/1908,-48.4,49.11666667,0,MED,NOT IIP
05/03/1908,-48.6,48.91666667,0,BERG,NOT IIP
05/03/1908,-48.8,48.8,0,X,NOT IIP
05/03/1908,-49.33333333,48.75,0,LG,NOT IIP
05/03/1908,-49.33333333,48.75,0,BERG,NOT IIP
05/03/1908,-49.83333333,48.53333333,0,LG,NOT IIP
05/04/1908,-49.33333333,48.25,0,LG,NOT IIP
05/04/1908,-47.45,49,0,LG,NOT IIP
05/04/1908,-49.33333333,48.25,0,BBGR,NOT IIP
05/04/1908,-47.45,49,0,BBGR,NOT IIP
05/05/1908,-41.96666667,46.2,0,MED,NOT IIP
05/05/1908,-46.78333333,49.11666667,0,SM,NOT IIP
05/05/1908,-48.08333333,45.66666667,0,LG,NOT IIP
05/06/1908,-65.5,34.5,0,BBGR,NOT IIP
05/07/1908,-45.96666667,47.78333333,0,LG,NOT IIP
05/07/1908,-46.05,47.75,0,LG,NOT IIP
05/07/1908,-46.78333333,47.46666667,0,SM,NOT IIP
05/07/1908,-47.53333333,46.98333333,0,BBGR,NOT IIP
05/07/1908,-47.7,46.86666667,0,LG,NOT IIP
05/07/1908,-45.61666667,46.4,0,MED,NOT IIP
05/07/1908,-45.38333333,46.8,0,MED,NOT IIP
05/08/1908,-47.06666667,48.55,0,SM,NOT IIP
05/08/1908,-50.33333333,47.51666667,0,SM,NOT IIP
05/08/1908,-47.06666667,48.55,0,BBGR,NOT IIP
05/08/1908,-50.33333333,47.51666667,0,BBGR,NOT IIP
05/08/1908,-48,48,0,BERG,NOT IIP
05/08/1908,-46.36666667,47.91666667,0,BERG,NOT IIP
05/09/1908,-48.33333333,49.18333333,0,LG,NOT IIP
05/09/1908,-49.81666667,48.41666667,0,MED,NOT IIP
05/09/1908,-50.63333333,48.05,0,LG,NOT IIP
05/09/1908,-50.63333333,48.05,0,BBGR,NOT IIP
05/09/1908,-51.16666667,47.9,0,X,NOT IIP
05/09/1908,-47.2,46.23333333,0,LG,NOT IIP
05/09/1908,-45.83333333,46.83333333,0,LG,NOT IIP
05/10/1908,-49.68333333,47.43333333,0,LG,NOT IIP
05/10/1908,-50.35,47.33333333,0,LG,NOT IIP
05/12/1908,-45.6,46.86666667,0,LG,NOT IIP
