date,longitude,latitude,resight,size,source
02/01/1990,-51.83,51.32,0,SM,IIP
02/06/1990,-51.7,49.67,1,MED,IIP
02/22/1990,-46.92,47.93,1,MED,IIP
03/08/1990,-44.82,47.93,1,MED,IIP
02/01/1990,-51.47,51.23,0,SM,IIP
02/16/1990,-49.13,48.97,1,BBGR,IIP
02/22/1990,-48.05,48.43,1,X,IIP
02/26/1990,-47.97,48.03,1,MED,IIP
03/03/1990,-47.78,47.41,1,MED,IIP
03/06/1990,-46.89,46.92,1,MED,IIP
03/07/1990,-46.58,47.0,1,MED,IIP
02/01/1990,-50.72,50.7,0,X,IIP
02/16/1990,-48.67,48.32,1,BBGR,IIP
02/26/1990,-48.67,48.1,1,BBGR,IIP
03/07/1990,-46.0,47.2,1,BBGR,IIP
02/01/1990,-50.33,50.97,0,X,IIP
02/16/1990,-48.92,49.12,1,X,IIP
02/22/1990,-47.28,48.5,1,X,IIP
03/07/1990,-46.23,48.34,1,SM,IIP
02/01/1990,-51.17,49.62,0,X,IIP
02/11/1990,-47.66,48.39,1,SM,IIP
02/16/1990,-48.2,47.92,1,SM,IIP
02/26/1990,-48.17,48.03,1,SM,IIP
03/07/1990,-46.95,47.79,1,SM,IIP
02/01/1990,-50.87,48.9,0,X,IIP
02/18/1990,-47.17,46.95,1,LG,IIP
03/03/1990,-47.03,45.92,1,MED,IIP
03/08/1990,-46.18,45.7,1,MED,IIP
02/16/1990,-49.25,49.6,0,BBGR,IIP
02/22/1990,-47.25,49.23,0,X,IIP
03/07/1990,-46.24,48.35,1,MED,IIP
02/22/1990,-48.9,46.9,0,MED,IIP
02/28/1990,-47.95,47.35,1,MED,IIP
03/03/1990,-47.17,47.04,1,LG,IIP
03/07/1990,-46.7,46.93,1,LG,IIP
02/22/1990,-48.53,46.9,0,SM,IIP
02/28/1990,-47.87,47.31,1,SM,IIP
03/03/1990,-47.03,46.99,1,SM,IIP
03/06/1990,-46.84,46.98,1,SM,IIP
03/07/1990,-47.02,47.08,1,SM,IIP
03/07/1990,-47.28,47.17,1,SM,IIP
03/10/1990,-47.66,46.27,1,SM,IIP
03/17/1990,-48.83,44.62,1,SM,IIP
03/20/1990,-48.47,44.47,1,SM,IIP
03/23/1990,-48.37,44.93,1,SM,IIP
03/24/1990,-48.02,45.13,1,SM,IIP
03/26/1990,-48.13,44.95,1,SM,IIP
03/28/1990,-48.43,44.97,1,SM,IIP
02/22/1990,-48.38,46.93,0,BBGR,IIP
02/28/1990,-47.73,47.24,1,BBGR,IIP
03/03/1990,-47.12,46.67,1,SM,IIP
03/10/1990,-46.94,46.51,1,SM,IIP
02/22/1990,-48.2,46.92,0,SM,IIP
02/27/1990,-47.2,47.03,1,MED,IIP
03/03/1990,-47.39,46.22,1,MED,IIP
03/07/1990,-47.73,45.45,1,MED,IIP
03/23/1990,-42.08,46.58,1,MED,IIP
02/22/1990,-48.18,46.87,0,SM,IIP
02/26/1990,-47.43,47.38,1,SM,IIP
02/28/1990,-47.74,47.22,1,SM,IIP
03/03/1990,-47.15,46.9,1,SM,IIP
03/10/1990,-46.95,46.6,1,SM,IIP
02/22/1990,-48.13,46.97,0,BBGR,IIP
02/26/1990,-47.7,47.25,1,BBGR,IIP
02/28/1990,-47.81,47.24,1,BBGR,IIP
03/06/1990,-47.09,46.13,1,BBGR,IIP
03/08/1990,-46.97,45.68,1,BBGR,IIP
03/10/1990,-47.28,45.28,1,BBGR,IIP
02/22/1990,-48.1,47.1,0,SM,IIP
02/26/1990,-47.32,47.15,1,SM,IIP
02/28/1990,-47.73,47.3,1,SM,IIP
03/03/1990,-47.09,46.8,1,SM,IIP
03/10/1990,-46.47,46.43,1,MED,IIP
03/23/1990,-41.92,46.75,1,MED,IIP
02/22/1990,-48.0,46.92,0,BBGR,IIP
02/26/1990,-46.98,47.05,1,BBGR,IIP
03/03/1990,-47.11,46.53,1,SM,IIP
03/06/1990,-47.15,46.13,1,SM,IIP
03/07/1990,-47.58,45.35,1,SM,IIP
03/08/1990,-47.37,45.78,1,SM,IIP
03/16/1990,-45.95,45.58,1,SM,IIP
02/24/1990,-50.8,51.82,0,SM,IIP
03/03/1990,-48.67,45.07,0,MED,IIP
03/04/1990,-48.89,44.83,1,MED,IIP
03/09/1990,-49.07,43.9,1,MED,IIP
03/03/1990,-48.42,45.03,0,BBGR,IIP
03/08/1990,-46.42,45.7,1,BBGR,IIP
03/03/1990,-47.3,46.23,0,MED,IIP
03/06/1990,-47.54,46.01,1,MED,IIP
03/09/1990,-48.3,45.58,1,MED,IIP
03/13/1990,-48.48,44.7,1,MED,IIP
03/24/1990,-46.0,45.18,1,MED,IIP
03/25/1990,-45.83,45.13,1,SM,IIP
03/03/1990,-47.1,46.65,0,SM,IIP
03/06/1990,-47.34,46.01,0,SM,IIP
03/07/1990,-47.62,45.37,1,SM,IIP
03/08/1990,-47.37,45.73,1,SM,IIP
03/07/1990,-47.95,48.52,0,MED,IIP
03/07/1990,-48.19,48.69,0,SM,IIP
03/07/1990,-47.55,48.42,0,SM,IIP
03/07/1990,-47.91,48.34,0,SM,IIP
03/07/1990,-46.7,48.15,0,MED,IIP
03/08/1990,-46.88,48.15,1,MED,IIP
03/07/1990,-46.33,48.18,0,MED,IIP
03/07/1990,-46.15,48.38,0,MED,IIP
03/08/1990,-45.28,48.35,1,MED,IIP
03/07/1990,-45.52,48.25,0,SM,IIP
03/08/1990,-45.05,48.07,1,SM,IIP
03/11/1990,-44.95,47.7,1,SM,IIP
03/07/1990,-45.68,48.18,0,SM,IIP
03/08/1990,-45.65,48.02,1,SM,IIP
03/07/1990,-45.68,48.23,0,BBGR,IIP
03/08/1990,-45.07,47.92,1,BBGR,IIP
03/07/1990,-45.62,47.97,0,SM,IIP
03/08/1990,-45.85,47.87,1,MED,IIP
03/07/1990,-46.52,47.45,0,MED,IIP
03/07/1990,-46.5,47.13,1,MED,IIP
03/07/1990,-46.26,47.76,0,MED,IIP
03/08/1990,-46.27,47.9,1,MED,IIP
03/07/1990,-46.5,47.75,0,SM,IIP
03/07/1990,-46.95,47.76,0,MED,IIP
03/07/1990,-47.35,47.54,0,MED,IIP
03/10/1990,-46.8,46.7,1,MED,IIP
03/08/1990,-44.92,48.1,0,X,IIP
03/08/1990,-44.92,48.25,0,X,IIP
03/07/1990,-45.88,47.17,0,MED,IIP
03/11/1990,-45.55,46.87,1,MED,IIP
03/23/1990,-45.55,46.87,1,SM,IIP
04/01/1990,-46.12,47.27,1,SM,IIP
03/09/1990,-49.17,43.57,0,MED,IIP
03/09/1990,-49.63,43.87,0,X,IIP
03/21/1990,-51.37,43.16,1,MED,IIP
03/23/1990,-51.33,43.52,1,SM,IIP
04/01/1990,-50.87,43.1,1,SM,IIP
04/03/1990,-50.56,43.7,1,SM,IIP
04/07/1990,-50.27,44.43,1,SM,IIP
03/09/1990,-48.17,44.75,0,LG,IIP
03/15/1990,-46.48,44.6,1,LG,IIP
03/09/1990,-48.33,44.47,0,LG,IIP
03/13/1990,-47.72,44.57,1,LG,IIP
03/23/1990,-47.93,44.53,1,LG,IIP
03/09/1990,-48.33,44.47,0,MED,IIP
03/10/1990,-48.05,44.53,1,MED,IIP
03/24/1990,-45.03,44.6,1,MED,IIP
03/09/1990,-48.33,44.47,0,MED,IIP
03/10/1990,-48.0,44.27,1,MED,IIP
03/11/1990,-47.97,43.95,1,MED,IIP
03/19/1990,-47.2,43.9,1,MED,IIP
03/07/1990,-45.68,47.42,0,MED,IIP
03/23/1990,-45.88,47.27,1,SM,IIP
04/01/1990,-45.83,47.63,1,SM,IIP
03/07/1990,-47.97,45.32,0,MED,IIP
