date,longitude,latitude,resight,size,source
02/05/1998,-51.61,49.79,0,LG,IIP
02/05/1998,-53.01,48.92,0,X,IIP
03/05/1998,-52.35,47.38,1,BBGR,IIP
02/05/1998,-52.01,50.89,0,LG,IIP
02/17/1998,-51.8,49.5,1,LG,IIP
02/05/1998,-51.57,48.4,0,SM,IIP
03/05/1998,-51.98,47.42,1,SM,IIP
03/10/1998,-51.85,47.26,1,SM,IIP
02/05/1998,-51.69,48.55,0,X,IIP
02/05/1998,-48.36,48.76,0,MED,IIP
02/12/1998,-46.12,47.95,1,MED,IIP
02/05/1998,-48.9,45.77,0,LG,IIP
02/05/1998,-48.71,45.69,1,LG,IIP
02/07/1998,-48.93,45.68,1,LG,IIP
02/11/1998,-49.71,45.21,1,X,IIP
02/12/1998,-49.72,45.2,1,LG,IIP
02/17/1998,-49.38,44.9,1,X,IIP
02/05/1998,-46.54,46.43,0,X,IIP
02/05/1998,-51.48,51.67,0,X,IIP
02/05/1998,-51.66,51.66,0,SM,IIP
02/05/1998,-52.76,51.69,0,BBGR,IIP
02/05/1998,-53.06,51.38,0,X,IIP
02/11/1998,-53.34,51.24,1,MED,IIP
02/17/1998,-52.65,50.93,1,LG,IIP
02/18/1998,-52.75,50.83,1,VLG,IIP
02/05/1998,-52.27,49.17,0,LG,IIP
02/05/1998,-52.3,49.19,0,LG,IIP
02/05/1998,-52.76,48.85,0,X,IIP
02/05/1998,-52.17,49.59,0,X,IIP
02/05/1998,-52.44,50.11,0,X,IIP
02/14/1998,-51.5,48.92,1,LG,IIP
02/17/1998,-50.77,48.73,1,LG,IIP
02/18/1998,-50.65,48.62,1,LG,IIP
03/02/1998,-48.95,47.8,1,LG,IIP
02/05/1998,-52.57,50.32,0,MED,IIP
02/05/1998,-51.27,49.73,0,X,IIP
02/05/1998,-51.87,50.89,0,X,IIP
02/17/1998,-51.63,49.5,1,LG,IIP
02/05/1998,-52.79,50.36,0,BBGR,IIP
02/05/1998,-52.73,50.48,0,BBGR,IIP
02/05/1998,-52.54,50.71,0,BBGR,IIP
02/05/1998,-52.61,50.41,0,BBGR,IIP
02/05/1998,-52.3,50.83,0,BBGR,IIP
02/05/1998,-52.32,50.95,0,BBGR,IIP
02/11/1998,-53.45,51.98,0,SM,IIP
02/17/1998,-53.12,51.87,1,SM,IIP
02/18/1998,-53.23,51.95,1,SM,IIP
02/19/1998,-53.45,51.92,1,MED,IIP
02/19/1998,-53.28,51.9,1,MED,IIP
04/12/1998,-50.35,48.33,1,MED,IIP
02/12/1998,-50.19,51.74,0,LG,IIP
