date,longitude,latitude,resight,size,source
01/28/2007,-57.23,54.84,1,X,IIP
02/02/2007,-57.25,54.83,1,LG,IIP
11/17/2006,-61.27,60.20,1,X,IIP
11/25/2006,-60.48,59.94,1,X,IIP
12/19/2006,-59.36,56.96,1,X,IIP
12/27/2006,-58.08,55.36,1,LG,IIP
01/28/2007,-60.54,56.56,0,X,IIP
02/02/2007,-59.95,56.14,1,SM,IIP
11/25/2006,-60.47,59.94,1,LG,IIP
12/19/2006,-60.24,57.39,1,MED,IIP
12/21/2006,-60.25,57.29,1,X,IIP
12/27/2006,-60.49,56.57,1,MED,IIP
12/28/2006,-62.64,58.70,0,MED,IIP
01/18/2007,-57.05,54.89,0,X,IIP
01/18/2007,-59.81,56.51,0,MED,IIP
01/28/2007,-58.14,55.84,1,MED,IIP
02/01/2007,-55.75,54.77,1,MED,IIP
01/18/2007,-59.25,56.85,0,BBGR,IIP
02/02/2007,-56.02,55.50,1,BBGR,IIP
01/18/2007,-59.38,57.16,0,X,IIP
01/18/2007,-59.39,57.16,0,SM,IIP
01/18/2007,-59.59,57.08,0,SM,IIP
01/18/2007,-59.65,57.11,0,MED,IIP
01/18/2007,-59.60,57.17,0,SM,IIP
01/18/2007,-59.44,57.45,0,MED,IIP
01/18/2007,-59.97,57.75,0,MED,IIP
01/28/2007,-59.90,57.64,1,X,IIP
01/18/2007,-59.93,58.36,0,LG,IIP
01/28/2007,-59.10,57.64,1,LG,IIP
01/18/2007,-60.57,58.26,0,MED,IIP
01/28/2007,-60.64,57.64,1,MED,IIP
02/02/2007,-60.81,57.02,1,MED,IIP
01/18/2007,-60.90,58.01,0,MED,IIP
01/28/2007,-60.93,56.88,1,X,IIP
02/02/2007,-60.01,56.14,1,SM,IIP
01/18/2007,-60.47,58.55,0,X,IIP
01/18/2007,-60.58,58.59,0,X,IIP
01/18/2007,-60.69,58.57,0,X,IIP
01/18/2007,-61.18,58.66,0,X,IIP
01/28/2007,-61.16,57.34,1,X,IIP
02/02/2007,-60.58,56.68,1,SM,IIP
01/18/2007,-61.30,58.67,0,X,IIP
01/28/2007,-61.07,57.45,1,X,IIP
02/02/2007,-60.59,56.75,1,SM,IIP
01/18/2007,-60.62,57.89,0,MED,IIP
01/28/2007,-61.06,57.12,1,X,IIP
02/02/2007,-60.50,56.61,1,MED,IIP
01/18/2007,-60.35,57.47,0,MED,IIP
01/18/2007,-60.69,57.79,0,BBGR,IIP
01/18/2007,-60.46,56.57,0,MED,IIP
01/28/2007,-59.56,55.79,1,X,IIP
02/01/2007,-57.54,54.82,1,SM,IIP
